paper_number,forum_id,spotlight,title,abstract,authors,decision
1,TaO4tXGuZI,False,A Digital Twin-driven Intelligent Inspection Robotic System for Elevator Buffer in Confined Hazardous Space,"Elevator buffer is the final physical safety barrier of vertical transportation systems, whose regular and reliable inspection is mandatory to prevent catastrophic squatting and roof-rushing accidents.However,traditional manual inspection in narrow,dim,and high-risk elevator pit confined space suffers from extreme safety hazards, low efficiency, and strong subjective judgment deviation. Existing robotic inspection solutions lack a closed-loop virtual-real interaction framework based on digital twin (DT), leading to poor adaptability in complex unstructured pit environments, slow convergence of manipulator path planning, and insufficient generalization of defect detection models. To address these challenges, this paper proposes a full-process digital twin-driven intelligent inspection robotic system for elevator buffer autonomous inspection. First, a 1:1 high-fidelity digital twin model of the elevator pit is established with a four-layer architecture, including geometric twin, physical twin, behavioral twin, and rule twin, realizing real-time bidirectional mapping between virtual and physical spaces. On this basis, the digital twin framework is adopted to enable three core functions: prior map-based autonomous navigation and obstacle avoidance of the mobile robot, virtual pre-planning and real-time optimization of manipulator motion in confined space, and DT sample-enhanced visual defect detection and ranging. Finally, both virtual simulation experiments and physical prototype verification are conducted. The results show that our method achieves 92.3% defect detection mAP@0.5 and ±6.8mm ranging accuracy, while improving single-unit inspection efficiency by 67% compared with manual inspection, which verifies the effectiveness and superiority of the proposed digital twin-driven framework for confined space robotic inspection.","Zhiyong Hu, Xuan Wang, Qingyuan Guo, Jing Bian, HongChen Liu, Jinkang Hu",Accept
2,k2VMmd2BJX,False,Part-Tokenised Graph–Field Flow Matching for Coherent Physics-Grounded 3D Asset Generation,"Physically grounded 3D asset generation aims to recover simulation-ready objects from a single image by combining geometric fidelity with physically meaningful attributes, including absolute scale, density, affordance, and articulation. We propose Part-Tokenised Graph–Field Flow Matching (PTGFFM), a two-stage framework that augments a frozen geometry-centric structural prior with a trainable part-aware physics branch. PTGFFM represents physical attributes as an unordered set of latent part tokens with existence prediction, and decodes them into dense physical fields and a kinematic graph conditioned on structured 3D features. To improve robustness to long-tailed object sizes, we regress absolute scale in a stabilised asinh space. A conditional flow-matching model is then trained to generate the physical token set from noise. On PhysXNet, PTGFFM improves several physical-property metrics over prior baselines while maintaining geometric fidelity comparable to the underlying structural prior. These results suggest that part-tokenised physical generation is a promising direction for simulation-ready 3D asset synthesis.","Jongmin Yu, Hyeontaek Oh, Zhongtian Sun, Anoushka Harit, Jinhong Yang",Accept
3,L9XfMw17Jc,False,CRAFT: Video Diffusion for Bimanual Robot Data Generation,"Bimanual robot learning from demonstrations is fundamentally limited by the cost and narrow visual diversity of real-world data, which constrains policy robustness across viewpoints, object configurations, and embodiments. We present Canny-guided Robot Data Generation using Video Diffusion Transformers (CRAFT), a video diffusion-based framework for scalable bimanual demonstration generation that synthesizes temporally coherent manipulation videos while producing action labels. By conditioning video diffusion on edge-based structural cues extracted from simulator-generated trajectories, CRAFT produces physically plausible trajectory variations and supports a unified augmentation pipeline spanning object pose changes, lighting and background variations, cross-embodiment transfer, and multi-view synthesis. We leverage a pre-trained video diffusion model to convert simulated videos, along with action labels from the simulation trajectories, into action-consistent demonstrations. Starting from only a few real-world demonstrations, CRAFT generates a large, visually diverse set of photorealistic training data, bypassing the need to replay demonstrations on the real robot (Sim2Real). Across simulated and real-world bimanual tasks, CRAFT improves success rates over existing augmentation strategies and straightforward data scaling, demonstrating that diffusion-based video generation can substantially expand demonstration diversity and improve generalization for coordinated dual-arm manipulation. Our project website is available at: https://craftaug.github.io/.","Jason Chen, I-Chun Arthur Liu, Gaurav S. Sukhatme, Daniel Seita",Accept
4,JOrPpqzPb8,False,Sim-to-Real Transfer for Muscle-Actuated Robots via Generalized Actuator Networks,"Tendon drives paired with soft muscle actuation enable faster and safer robots while potentially accelerating skill acquisition. Still, these systems are rarely used in practice due to inherent nonlinearities, friction, and hysteresis, which complicate modeling and control. So far, these challenges have hindered policy transfer from simulation to real systems. To bridge this gap, we propose a sim-to-real pipeline that learns a neural network model of this complex actuation and leverages established rigid body simulation for the arm dynamics and interactions with the environment. Our method, called Generalized Actuator Network (GeAN), enables actuation model identification across a wide range of robots by learning directly from joint position trajectories rather than requiring torque sensors. Using GeAN on PAMY2, a tendon-driven robot powered by pneumatic artificial muscles, we successfully deploy precise goal-reaching and dynamic ball-in-a-cup policies trained entirely in simulation. To the best of our knowledge, this result constitutes the first successful sim-to-real transfer for a four-degrees-of-freedom muscle-actuated robot arm.","Jan Schneider, Mridul Mahajan, Le Chen, Simon Guist, Bernhard Schölkopf, Ingmar Posner, Dieter Büchler",Accept
5,gYjk9psF3J,False,Distributional Treatment of Real2Sim2Real for Object-Centric Agent Adaptation in Vision-Driven DLO Manipulation,"We present an integrated (or end-to-end) framework for the Real2Sim2Real problem of manipulating deformable linear objects (DLOs) based on visual perception. Working with a parameterised set of DLOs, we use likelihood-free inference (LFI) to compute the posterior distributions for the physical parameters using which we can approximately simulate the behaviour of each specific DLO. We use these posteriors for domain randomisation while training, in simulation, object-specific visuomotor policies (i.e. assuming only visual and proprioceptive sensory) for a DLO reaching task, using model-free reinforcement learning. We demonstrate the utility of this approach by deploying sim-trained DLO manipulation policies in the real world in a zero-shot manner, i.e. without any further fine-tuning. In this context, we evaluate the capacity of a prominent LFI method to perform fine classification over the parametric set of DLOs, using only visual and proprioceptive data obtained in a dynamic manipulation trajectory. We then study the implications of the resulting domain distributions in sim-based policy learning and real-world performance.","Georgios Kamaras, Subramanian Ramamoorthy",Accept
6,VSiEfMoaVx,True,Inference-Time Planning with Action-Conditioned Video Models for Generalizable Robot Manipulation,"We propose **VidPlan**, an inference-time planning framework that uses action-conditioned video models as high- fidelity world models for robot manipulation. In contrast to state- of-the-art (SOTA) generalist policies learned via behavior cloning, a world modeling recipe enables counterfactual reasoning with context-specific information at inference time, leading to stronger zero-shot generalization. Moreover, world models can enable the optimization of action sequences that maximize predicted rewards. However, we demonstrate that naively utilizing a video model for inference-time optimization can result in *world model hacking*, where optimized action sequences exploit hallucinations in the world model without leading to successful real-world executions. To mitigate this challenge, we develop a novel *uncertainty quantification* method that constrains action optimization to high-confidence regions. Further, we introduce a novel *hierarchical reward prediction* model to capture both semantic and fine-grained task progress, designed within a *flow map framework* for real-time optimization of video plans. Through extensive experiments on manipulation tasks, we demonstrate that VidPlan achieves improved generalization, higher task success rates, and stronger instruction following compared to SOTA vision-language-action baselines.","Zhiting Mei, Yanbo Xu, Tenny Yin, Ola Sho, Anirudha Majumdar",Accept
8,wD1FdyAV9d,False,Vid2Sid: Videos Can Help Close the Sim2Real Gap,"Calibrating a robot simulator's physics parameters (friction, damping, material stiffness) to match real hardware is often done by hand or with black-box optimizers that reduce error but cannot explain which physical discrepancies drive the error. When sensing is limited to external cameras, the problem is further compounded by perception noise and the absence of direct force or state measurements. We present Vid2Sid, a video-driven system identification pipeline that couples foundation-model perception with a VLM-in-the-loop optimizer that analyzes paired sim-real videos, diagnoses concrete mismatches, and proposes physics parameter updates with natural language rationales. We evaluate our approach on a tendon-actuated finger (rigid-body dynamics in MuJoCo) and a deformable continuum tentacle (soft-body dynamics in PyElastica). On sim2real holdout controls unseen during training, Vid2Sid achieves the best average rank across all settings, matching or exceeding black-box optimizers while uniquely providing interpretable reasoning at each iteration. sim2sim validation confirms that Vid2Sid recovers ground-truth parameters most accurately (mean relative error under 13% vs. 28-98%), and ablation analysis reveals three calibration regimes. VLM-guided optimization excels when perception is clean and the simulator is expressive, while model-class limitations bound performance in more challenging settings.","Kevin Qiu, Yu Zhang, Marek Cygan, Josie Hughes",Accept
9,VgilDTWu6o,False,Swim2Real: VLM-Guided System Identification for Sim-to-Real Transfer,"We present Swim2Real, a pipeline that calibrates a 16-parameter robotic fish simulator from swimming videos using vision-language model (VLM) feedback, requiring no hand-designed search stages. Calibrating soft aquatic robots is particularly challenging because nonlinear fluid-structure coupling makes the parameter landscape chaotic, simplified fluid models introduce a persistent sim-to-real gap, and controlled aquatic experiments are difficult to reproduce. Prior work on this platform required three manually tailored stages to handle this complexity. The VLM compares simulated and real videos and proposes parameter updates. A backtracking line search then validates each step size, tripling the accept rate from 14% to 42% by recovering proposals where the direction is correct but the magnitude is too large. Swim2Real calibrates all 16 parameters simultaneously, most closely matching real fish velocities across all motor frequencies (MAE = 7.4 mm/s, 43% lower than the next-best method), with zero outlier seeds across five runs. Motor commands from the trained policy transfer to the physical fish at 50 Hz, completing the pipeline from swimming video to real-world deployment. Downstream RL policies swim 12% farther than those from BayesOpt-calibrated simulators and 90% farther than CMA-ES. These results demonstrate that VLM-guided calibration can close the sim-to-real gap for aquatic robots directly from video, enabling zero-shot RL transfer to physical swimmers without manual system identification, a step toward automated, general-purpose simulator tuning for underwater robotics.","Kevin Qiu, Kyle L. Walker, Mike Yan Michelis, Marek Cygan, Josie Hughes",Accept
11,0TL3CnFcAb,False,Simulation-Ready Cluttered Scene Estimation via Physics-aware Joint Shape and Pose Optimization,"Estimating simulation-ready scenes from real-world observations is crucial for downstream planning and policy learning tasks. Regretfully, existing methods struggle in cluttered environments, often exhibiting prohibitive computational cost, poor robustness, and restricted generality when scaling to multiple interacting objects. We propose a unified optimization-based formulation for real-to-sim scene estimation that jointly recovers the shapes and poses of multiple rigid objects under physical constraints. Our method is built on two key technical innovations. First, we leverage the recently introduced shape-differentiable contact model, whose global differentiability permits joint optimization over object geometry and pose while modeling inter-object contacts. Second, we exploit the structured sparsity of the augmented Lagrangian Hessian to derive an efficient linear system solver whose computational cost scales favorably with scene complexity. Building on this formulation, we develop an end-to-end real-to-sim scene estimation pipeline that integrates learning-based object initialization, physics-constrained joint shape-pose optimization, and differentiable texture refinement. Experiments on cluttered scenes with up to 5 objects and 22 convex hulls demonstrate that our approach robustly reconstructs physically valid, simulation-ready object shapes and poses.","Wei-Cheng Huang, Jiaheng Han, XIAOHAN YE, zherong pan, Kris Hauser",Accept
13,YkjOirjURj,True,REACT3D: Recovering Articulations for Interactive Physical 3D Scenes,"Interactive 3D scenes are increasingly vital for embodied intelligence, yet existing datasets remain limited due to the labor-intensive process of annotating part segmentation, kinematic types, and motion trajectories. We present REACT3D, a scalable zero-shot framework that converts static 3D scenes into simulation-ready interactive replicas with consistent geometry, enabling direct use in diverse downstream tasks. Our contributions include: (i) openable-object detection and segmentation to extract candidate movable parts from static scenes, (ii) articulation estimation that infers joint types and motion parameters, (iii) hidden-geometry completion followed by interactive object assembly, and (iv) interactive scene integration in widely supported formats to ensure compatibility with standard simulation platforms. We achieve state-of-the-art performance on detection/segmentation and articulation metrics across diverse indoor scenes, demonstrating the effectiveness of our framework and providing a practical foundation for scalable interactive scene generation, thereby lowering the barrier to large-scale research on articulated scene understanding.","Zhao Huang, Boyang Sun, Alexandros Delitzas, Jiaqi Chen, Marc Pollefeys",Accept
